priority,status,iam_prefix,service
P0,validated,account,AWS Account Management
P0,blocked,account-access,Account access manager
P0,validated,acm,AWS Certificate Manager
P0,blocked,acm-pca,AWS Private Certificate Authority
P0,validated,apigateway,Amazon API Gateway Management / Amazon API Gateway Management V2
P0,validated,appstream,Amazon AppStream 2.0
P0,validated,athena,Amazon Athena
P0,validated,autoscaling,Amazon EC2 Auto Scaling
P0,validated,backup,AWS Backup
P0,validated,batch,AWS Batch
P0,validated,bedrock,Amazon Bedrock
P0,validated,bedrock-agentcore,Amazon Bedrock Agentcore
P0,validated,cloudformation,AWS Cloud Control API / AWS CloudFormation
P0,validated,cloudtrail,AWS CloudTrail
P0,validated,codebuild,AWS CodeBuild
P0,validated,codecommit,AWS CodeCommit
P0,no_new_positive,codeconnections,AWS CodeConnections
P0,validated,codedeploy,AWS CodeDeploy
P0,validated,codepipeline,AWS CodePipeline
P0,validated,cognito-identity,Amazon Cognito Identity
P0,validated,cognito-idp,Amazon Cognito User Pools
P0,validated,config,AWS Config
P0,validated,connect,Amazon Connect
P0,blocked,controltower,AWS Control Tower
P0,validated,dynamodb,Amazon DynamoDB
P0,validated,ec2,Amazon EC2
P0,blocked,ec2messages,Amazon Message Delivery Service
P0,validated,ecs,Amazon Elastic Container Service
P0,validated,eks,Amazon Elastic Kubernetes Service
P0,validated,eks-auth,Amazon EKS Auth
P0,validated,elasticloadbalancing,AWS Elastic Load Balancing / AWS Elastic Load Balancing V2
P0,validated,es,Amazon OpenSearch Service
P0,validated,events,Amazon EventBridge
P0,validated,execute-api,Amazon API Gateway
P0,blocked,fsx,Amazon FSx
P0,validated,glue,AWS Glue
P0,validated,iam,AWS Identity and Access Management (IAM)
P0,blocked,identitystore,AWS Identity Store
P0,blocked,kms,AWS Key Management Service
P0,validated,lambda,AWS Lambda
P0,blocked,opensearch,Amazon OpenSearch
P0,blocked,organizations,AWS Organizations
P0,no_new_positive,pipes,Amazon EventBridge Pipes
P0,blocked,ram,AWS Resource Access Manager (RAM)
P0,validated,rds,Amazon RDS
P0,validated,rds-db,Amazon RDS IAM Authentication
P0,validated,redshift,Amazon Redshift
P0,no_new_positive,redshift-data,Amazon Redshift Data API
P0,no_new_positive,resource-groups,AWS Resource Groups
P0,validated,rolesanywhere,AWS Identity and Access Management Roles Anywhere
P0,validated,route53,Amazon Route 53
P0,validated,route53domains,Amazon Route 53 Domains
P0,validated,s3,Amazon S3
P0,blocked,s3-object-lambda,Amazon S3 Object Lambda
P0,validated,sagemaker,Amazon SageMaker
P0,blocked,sagemaker-geospatial,Amazon SageMaker geospatial capabilities
P0,no_new_positive,scheduler,Amazon EventBridge Scheduler
P0,validated,secretsmanager,AWS Secrets Manager
P0,validated,signer,AWS Signer
P0,validated,sns,Amazon SNS
P0,validated,sqs,Amazon SQS
P0,validated,ssm,AWS Systems Manager
P0,blocked,ssmmessages,Amazon Message Gateway Service
P0,blocked,sso,AWS IAM Identity Center
P0,blocked,sso-directory,AWS IAM Identity Center directory
P0,validated,states,AWS Step Functions
P0,blocked,storagegateway,AWS Storage Gateway
P0,validated,sts,AWS Security Token Service
P0,no_new_positive,tag,Amazon Resource Group Tagging API
P0,blocked,workspaces,Amazon WorkSpaces
P0,blocked,workspaces-web,Amazon WorkSpaces Secure Browser
P1,blocked,a2c,AWS App2Container
P1,blocked,access-analyzer,AWS IAM Access Analyzer
P1,blocked,aco-automation,AWS Compute Optimizer Automation
P1,blocked,agentaccess-mcp,Amazon WorkSpaces AgentAccess MCP Server
P1,validated,airflow,Amazon Managed Workflows for Apache Airflow
P1,validated,airflow-serverless,AWS MWAA Serverless
P1,validated,amplify,AWS Amplify
P1,validated,amplifybackend,AWS Amplify Admin
P1,blocked,amplifyuibuilder,AWS Amplify UI Builder
P1,blocked,aoss,Amazon OpenSearch Serverless
P1,blocked,app-integrations,Amazon AppIntegrations
P1,blocked,application-autoscaling,AWS Application Auto Scaling
P1,no_new_positive,application-signals,Amazon CloudWatch Application Signals
P1,blocked,application-signals-mcp,Amazon CloudWatch Application Signals MCP Server
P1,blocked,application-transformation,AWS Application Transformation Service
P1,blocked,applicationinsights,Amazon CloudWatch Application Insights
P1,validated,apprunner,AWS App Runner
P1,validated,appsync,AWS AppSync
P1,blocked,apptest,AWS Mainframe Modernization Application Testing
P1,validated,aps,Amazon Managed Service for Prometheus
P1,blocked,arc-zonal-shift,Amazon Application Recovery Controller - Zonal Shift
P1,blocked,arsenal,Application Discovery Arsenal
P1,no_new_positive,artifact,AWS Artifact
P1,blocked,auditmanager,AWS Audit Manager
P1,validated,aws-marketplace,AWS Marketplace / AWS Marketplace Catalog / AWS Marketplace Deployment Service / AWS Marketplace Discovery / AWS Marketplace Entitlement Service / AWS Marketplace Image Building Service / AWS Marketplace Metering Service / AWS Marketplace Private Marketplace / AWS Marketplace Procurement Systems Integration / AWS Marketplace Reporting / AWS Marketplace Seller Reporting
P1,blocked,aws-marketplace-management,AWS Marketplace Management Portal
P1,validated,b2bi,AWS B2B Data Interchange
P1,blocked,backup-gateway,AWS Backup Gateway
P1,blocked,backup-search,AWS Backup Search
P1,blocked,backup-storage,AWS Backup storage
P1,blocked,bcm-data-exports,AWS Billing And Cost Management Data Exports
P1,no_new_positive,billing,AWS Billing
P1,validated,budgets,AWS Budget Service
P1,validated,ce,AWS Cost Explorer Service
P1,validated,chime,Amazon Chime
P1,blocked,clouddirectory,Amazon Cloud Directory
P1,validated,cloudfront,Amazon CloudFront
P1,blocked,cloudtrail-data,AWS CloudTrail Data
P1,validated,cloudwatch,Amazon CloudWatch
P1,validated,codeartifact,AWS CodeArtifact
P1,blocked,codecatalyst,Amazon CodeCatalyst
P1,no_new_positive,codeguru-security,Amazon CodeGuru Security
P1,blocked,compute-optimizer,AWS Compute Optimizer
P1,blocked,cur,AWS Cost and Usage Report
P1,blocked,dataexchange,AWS Data Exchange
P1,blocked,datapipeline,AWS Data Pipeline
P1,validated,datasync,AWS DataSync
P1,validated,datazone,Amazon DataZone
P1,blocked,dbqms,Database Query Metadata Service
P1,blocked,detective,Amazon Detective
P1,blocked,discovery,AWS Application Discovery Service
P1,no_new_positive,dlm,Amazon Data Lifecycle Manager
P1,validated,dms,AWS Database Migration Service
P1,validated,docdb-elastic,Amazon DocumentDB Elastic Clusters
P1,blocked,ds,AWS Directory Service
P1,blocked,ds-data,AWS Directory Service Data
P1,validated,ecr,Amazon Elastic Container Registry
P1,validated,ecr-public,Amazon Elastic Container Registry Public
P1,validated,elasticache,Amazon ElastiCache
P1,blocked,elasticbeanstalk,AWS Elastic Beanstalk
P1,validated,elasticmapreduce,Amazon Elastic MapReduce
P1,blocked,emr-containers,Amazon EMR on EKS (EMR Containers)
P1,validated,emr-serverless,Amazon EMR Serverless
P1,validated,firehose,Amazon Kinesis Firehose
P1,validated,grafana,Amazon Managed Grafana
P1,validated,greengrass,AWS IoT Greengrass / AWS IoT Greengrass V2
P1,blocked,guardduty,Amazon GuardDuty
P1,blocked,health,AWS Health APIs and Notifications
P1,blocked,identity-sync,AWS Identity Sync
P1,no_new_positive,identitystore-auth,AWS Identity Store Auth
P1,validated,imagebuilder,Amazon EC2 Image Builder
P1,blocked,inspector2,Amazon Inspector2
P1,validated,iot,AWS IoT
P1,no_new_positive,iotanalytics,AWS IoT Analytics
P1,no_new_positive,iotevents,AWS IoT Events
P1,no_new_positive,iotfleethub,AWS IoT Fleet Hub for Device Management
P1,blocked,iotfleetwise,AWS IoT FleetWise
P1,blocked,iotmanagedintegrations,AWS IoT Managed Integrations
P1,validated,iotwireless,AWS IoT Wireless
P1,validated,kafka,Amazon Managed Streaming for Apache Kafka
P1,validated,kafka-cluster,Apache Kafka APIs for Amazon MSK clusters
P1,validated,kinesis,Amazon Kinesis Data Streams
P1,validated,kinesisanalytics,Amazon Kinesis Analytics / Amazon Kinesis Analytics V2
P1,validated,kinesisvideo,Amazon Kinesis Video Streams
P1,validated,lex,Amazon Lex / Amazon Lex V2
P1,validated,lightsail,Amazon Lightsail
P1,validated,logs,Amazon CloudWatch Logs
P1,blocked,machinelearning,Amazon Machine Learning
P1,blocked,macie2,Amazon Macie
P1,blocked,marketplacecommerceanalytics,AWS Marketplace Commerce Analytics Service
P1,no_new_positive,mediaconvert,AWS Elemental MediaConvert
P1,validated,mediapackage,AWS Elemental MediaPackage
P1,no_new_positive,mediastore,AWS Elemental MediaStore
P1,no_new_positive,mediatailor,AWS Elemental MediaTailor
P1,validated,memorydb,Amazon MemoryDB
P1,blocked,mgn,AWS Application Migration Service
P1,no_new_positive,mobileanalytics,Amazon Mobile Analytics
P1,validated,neptune-db,Amazon Neptune
P1,validated,neptune-graph,Amazon Neptune Analytics
P1,blocked,network-firewall,AWS Network Firewall
P1,no_new_positive,network-security-director,AWS Shield network security director
P1,blocked,networkflowmonitor,Network Flow Monitor
P1,blocked,networkmanager,AWS Network Manager
P1,no_new_positive,networkmanager-chat,AWS Network Manager Chat
